UP_CP,Next_DS_CP,ChLosFac,LAT,LONG
369731,DUGI03,0.0000,33.619480000000003,-100.909999999999997
369801,369831,0.0000,33.577841659999997,-100.939999999999998
369831,DUGI03,0.0000,33.577841659999997,-100.939999999999998
369901,369902,0.0000,33.555774390000003,-100.959999999999994
369902,369931,0.0000,33.555774390000003,-100.959999999999994
369931,DUGI03,0.0000,33.555774390000003,-100.959999999999994
370001,370031,0.0000,33.502353220000003,-100.909999999999997
370031,DUGI03,0.0000,33.502353220000003,-100.909999999999997
370131,CON003,0.0000,33.247623910000002,-100.620000000000005
370231,CON006,0.0000,33.307474030000002,-100.379999999999995
370501,370531,0.0000,33.615550169999999,-101.879999999999995
370502,370532,0.0000,33.607515960000001,-101.859999999999999
370503,370536,0.0000,33.565840270000002,-101.799999999999997
370531,370502,0.0000,33.615550169999999,-101.879999999999995
370532,370533,0.0000,33.607515960000001,-101.859999999999999
370533,370534,0.0000,33.600750490000003,-101.849999999999994
370534,370535,0.0000,33.596742749999997,-101.840000000000003
370535,370503,0.0000,33.589448120000000,-101.829999999999998
370536,398501,0.0000,33.565840270000002,-101.799999999999997
370631,370701,0.0110,33.533272099999998,-101.689999999999998
370701,370702,0.0000,33.524465739999997,-101.680000000000007
370702,370731,0.0000,33.524465739999997,-101.680000000000007
370731,CON007,0.0800,33.524465739999997,-101.680000000000007
370732,370701,0.0000,33.531099910000002,-101.680000000000007
370751,370731,0.0000,33.531099910000002,-101.680000000000007
370801,370831,0.0000,33.471467959999998,-101.480000000000004
370831,CON007,0.0000,33.471467959999998,-101.480000000000004
370901,370931,0.0000,33.431821249999999,-101.480000000000004
370931,371001,0.0000,33.431821249999999,-101.480000000000004
371001,371101,0.1390,33.431821249999999,-101.480000000000004
371101,371131,0.0000,33.216941669999997,-101.269999999999996
371131,CON244,0.1810,33.216941669999997,-101.269999999999996
371301,371331,0.0000,33.055918689999999,-101.609999999999999
371331,P53591,0.0000,33.055914950000002,-101.620000000000005
371401,371431,0.0000,32.946700970000002,-101.239999999999995
371431,CON159,0.0000,32.946700970000002,-101.239999999999995
371501,371531,0.0000,33.030170310000003,-101.180000000000007
371531,CON160,0.0000,33.030170310000003,-101.180000000000007
371601,CON008,0.0000,32.994802569999997,-101.040000000000006
371602,371631,0.0000,32.985048890000002,-101.030000000000001
371631,371601,0.0000,32.985048890000002,-101.030000000000001
371701,371801,0.0310,33.022241840000000,-100.750000000000000
371801,371802,0.0310,32.989246330000000,-100.709999999999994
371802,371803,0.0050,32.968845299999998,-100.670000000000002
371803,371901,0.0310,32.966374610000003,-100.650000000000006
371901,CON009,0.0500,32.949644640000002,-100.599999999999994
372001,372031,0.0000,32.824409770000003,-100.569999999999993
372031,372101,0.0000,32.824409770000003,-100.569999999999993
372101,372131,0.0000,32.842942510000000,-100.569999999999993
372131,CON009,0.0000,32.842942510000000,-100.569999999999993
372201,372202,0.0000,33.005798220000003,-100.269999999999996
372202,372203,0.0100,33.005029399999998,-100.269999999999996
372203,DMAS09,0.0260,33.012009310000003,-100.250000000000000
372401,372431,0.0000,33.156384400000000,-99.969203640000003
372431,W12412,0.0060,33.156384400000000,-99.969203640000003
366701,366731,0.0000,34.558459499999998,-102.959999999999994
366731,366801,0.0000,34.558459499999998,-102.959999999999994
366801,366831,0.0000,34.555581189999998,-102.950000000000003
366831,366904,0.0000,34.555581189999998,-102.950000000000003
367002,367031,0.0000,34.445776459999998,-102.599999999999994
367031,367001,0.0000,34.445776459999998,-102.599999999999994
367001,367032,0.0000,34.439907169999998,-102.590000000000003
367032,367101,0.0000,34.439907169999998,-102.590000000000003
367101,367131,0.0000,34.402523580000000,-102.530000000000001
367131,367201,0.0000,34.402523580000000,-102.530000000000001
367201,367202,0.0000,34.402523580000000,-102.530000000000001
367202,367231,0.0000,34.402523580000000,-102.530000000000001
367231,367301,0.0000,34.402523580000000,-102.530000000000001
367301,367302,0.0000,34.402523580000000,-102.530000000000001
367302,367303,0.0000,34.402523580000000,-102.530000000000001
367303,367304,0.0000,34.402523580000000,-102.530000000000001
367304,367331,0.0000,34.402523580000000,-102.530000000000001
367331,367401,0.0000,34.402523580000000,-102.530000000000001
367401,367431,0.0000,34.402523580000000,-102.530000000000001
367431,P40641,0.0000,34.402523580000000,-102.530000000000001
367901,367931,0.0000,34.323565819999999,-102.040000000000006
367931,368001,0.0000,34.323565819999999,-102.040000000000006
368001,368031,0.0000,34.303486399999997,-102.040000000000006
368031,368101,0.0000,34.303486399999997,-102.040000000000006
370411,370535,0.0000,33.921702019999998,-102.069999999999993
370431,370411,0.0000,33.927729319999997,-102.060000000000002
370401,370421,0.0000,33.927729319999997,-102.060000000000002
370421,370431,0.0000,33.927467900000003,-102.060000000000002
370301,370331,0.0000,34.245376860000000,-102.659999999999997
370331,370401,0.0000,34.245376860000000,-102.659999999999997
367801,367831,0.0000,34.324558209999999,-102.040000000000006
367831,367901,0.0000,34.324558209999999,-102.040000000000006
367701,367731,0.0000,34.357123180000002,-102.129999999999995
367731,367801,0.0000,34.357123180000002,-102.129999999999995
367501,367531,0.0000,34.321515849999997,-102.230000000000004
367531,368101,0.0000,34.321515849999997,-102.230000000000004
367601,367631,0.0000,34.378655610000003,-102.200000000000003
367631,367701,0.0000,34.378655610000003,-102.200000000000003
P40641,406431,0.0000,34.337577680000003,-102.219999999999999
406431,367501,0.0000,34.338087059999999,-102.219999999999999
366401,366431,0.0000,34.579820650000002,-103.019999999999996
366431,366501,0.0000,34.579820650000002,-103.019999999999996
366501,366531,0.0000,34.577649160000000,-103.010000000000005
366531,366601,0.0000,34.577649160000000,-103.010000000000005
366904,366934,0.0000,34.465573010000000,-102.680000000000007
366934,367002,0.0000,34.465573010000000,-102.680000000000007
366903,366933,0.0000,34.464204029999998,-102.680000000000007
366902,366932,0.0000,34.464907850000003,-102.689999999999998
366931,366904,0.0000,34.467609560000000,-102.689999999999998
366933,366904,0.0000,34.464204029999998,-102.680000000000007
366932,366904,0.0000,34.464907850000003,-102.689999999999998
366901,366931,0.0000,34.467609560000000,-102.689999999999998
366601,366631,0.0000,34.565751980000002,-102.980000000000004
366631,366701,0.0000,34.565751980000002,-102.980000000000004
406451,367501,0.0000,34.337577680000003,-102.219999999999999
369531,CON004,0.0000,33.454947240000003,-101.200000000000003
369501,369531,0.0000,33.454947240000003,-101.200000000000003
W12381,CON004,0.0000,33.447267080000003,-101.379999999999995
W12382,CON245,0.0050,33.250086119999999,-100.010000000000005
W12391,CON002,0.1690,33.240607959999998,-100.930000000000007
W12392,369301,0.0000,33.458558609999997,-101.079999999999998
W12401,W12392,0.0000,33.458558609999997,-101.079999999999998
W12402,W12401,0.0950,33.496989239999998,-101.069999999999993
W12411,CON244,0.0000,33.100611039999997,-101.000000000000000
W12411,CON244,0.0000,33.100611039999997,-101.000000000000000
W12412,CON010,0.0170,33.171826230000001,-99.958145700000003
CON001,369201,0.3500,33.783284600000002,-101.230000000000004
CON002,CON003,0.0210,33.240811770000001,-100.689999999999998
CON003,SFPE04,0.1260,33.221778790000002,-100.640000000000001
CON004,W12391,0.0000,33.240607959999998,-100.930000000000007
CON005,CON006,0.0210,33.291124470000000,-100.420000000000002
CON006,SFAS06,0.0920,33.301844269999997,-100.359999999999999
CON007,370901,0.0110,33.443548589999999,-101.489999999999995
CON008,P41461,0.0000,33.062709949999999,-101.040000000000006
CON008,P41461,0.0000,33.062709949999999,-101.040000000000006
CON010,CON245,0.0490,33.201430809999998,-99.969188720000005
CON009,372201,0.1610,32.906193139999999,-100.519999999999996
CON159,DMJU08,0.0000,33.029874110000002,-101.209999999999994
CON160,CON008,0.0700,33.033520940000002,-101.180000000000007
CON160,CON008,0.0700,33.033520940000002,-101.180000000000007
CON244,371701,0.1700,33.100868720000001,-101.000000000000000
CON245,W12081,0.0280,33.269134780000002,-100.010000000000005
CON248,CON001,0.6050,33.978896890000001,-101.489999999999995
RWPL01,368601,0.0650,34.178816710000000,-101.700000000000003
WRSP02,CON004,0.1300,33.457796629999997,-101.079999999999998
DUGI03,CON002,0.0630,33.356329449999997,-100.709999999999994
SFPE04,CON005,0.0460,33.211793010000001,-100.430000000000007
CRJA05,CON005,0.0070,33.287738150000003,-100.430000000000007
SFAS06,W12382,0.1500,33.334050159999997,-100.239999999999995
BSLU07,370631,0.0000,33.533520820000000,-101.689999999999998
DMJU08,CON160,0.0100,33.038985670000002,-101.200000000000003
DMAS09,569204,0.0020,33.008517939999997,-100.180000000000007
105371,368601,0.0000,34.169106130000003,-101.680000000000007
P37211,3721P1,0.0000,32.383543570000000,-99.761211939999995
3721P1,415401,0.0000,32.383543570000000,-99.761211939999995
426603,476701,0.0000,32.595827260000000,-99.635866340000007
P51651,345503,0.0000,33.229591210000002,-98.653000960000000
524201,CON012,0.0240,33.387035869999998,-100.010000000000005
543501,CON015,0.0300,33.497790729999998,-99.768201000000005
417002,417003,0.0000,32.704134549999999,-99.621085879999995
341101,341131,0.0000,33.491814939999998,-100.010000000000005
341131,CON012,0.0000,33.491814939999998,-100.010000000000005
341231,CON013,0.0000,33.533007359999999,-100.010000000000005
341301,341302,0.0000,33.492666720000003,-99.782385959999999
341302,341331,0.0000,33.492666720000003,-99.782385959999999
341331,CON014,0.0000,33.492666720000003,-99.782385959999999
341401,344004,0.0000,33.566063419999999,-99.797014290000007
341431,341401,0.0000,33.566063419999999,-99.797014290000007
344001,CON015,0.0000,33.534531710000003,-99.728346590000001
344002,344001,0.0000,33.532473279999998,-99.728969100000000
344003,344002,0.0000,33.527334650000000,-99.734223540000002
344004,344031,0.0000,33.523745970000000,-99.741938700000006
344005,344032,0.0000,33.533526500000001,-99.740678500000001
344031,344003,0.0000,33.523745970000000,-99.741938700000006
344032,344002,0.0000,33.533526500000001,-99.740678500000001
344131,CON016,0.0000,33.418019909999998,-99.574763460000000
344201,344231,0.0000,33.568620989999999,-99.275587259999995
344231,CON017,0.0000,33.568620989999999,-99.275587259999995
344301,344302,0.0000,33.400330189999998,-99.395093410000001
344302,344401,0.0130,33.401355729999999,-99.394163640000002
344401,344431,0.0000,33.422608300000000,-99.369394740000004
344431,344501,0.0390,33.422608300000000,-99.369394740000004
344501,CON017,0.0320,33.454929950000000,-99.294953050000004
344601,344631,0.0000,33.263718660000002,-99.093863619999993
344631,344703,0.0000,33.263718660000002,-99.093863619999993
344651,344601,0.0000,33.263978469999998,-99.094168780000004
344701,344802,0.0000,33.237768920000001,-98.928195270000003
344702,344701,0.0000,33.241114420000002,-98.928156689999994
344703,344702,0.0000,33.242409219999999,-98.929063290000002
344801,CON018,0.0000,33.233292620000000,-98.915956519999995
344802,344801,0.0000,33.233565390000003,-98.917797570000005
344803,344802,0.0000,33.232047940000001,-98.921194709999995
344804,344803,0.0000,33.230760609999997,-98.921209649999994
344931,345103,0.0000,33.223585399999997,-99.363372859999998
345001,345031,0.0000,33.171157059999999,-99.190255780000001
345031,345103,0.0000,33.171157059999999,-99.190255780000001
345101,CON019,0.0000,33.169732199999999,-98.918846310000006
345102,345101,0.0000,33.169495689999998,-98.921305450000006
345103,345102,0.0000,33.169002820000003,-98.924074919999995
345201,345232,0.0000,33.179031840000000,-98.747392259999998
345231,345201,0.0000,33.176886260000003,-98.738208150000006
345232,CON020,0.0000,33.179031840000000,-98.747392259999998
345301,CON037,0.0010,33.023951900000000,-98.607230319999999
345401,345431,0.0000,33.356111040000002,-98.743464110000005
345431,P51651,0.0000,33.356111040000002,-98.743464110000005
345501,W12312,0.0000,33.207747220000002,-98.656696109999999
345502,345501,0.0000,33.209043850000000,-98.657598600000000
345503,W12312,0.0000,33.213378280000001,-98.653543409999997
345601,345631,0.0000,33.180382250000001,-98.649107639999997
345602,345632,0.0000,33.179839780000002,-98.646351359999997
345631,345602,0.0000,33.180382250000001,-98.649107639999997
345632,345801,0.0000,33.179839780000002,-98.646351359999997
345701,345731,0.0000,33.127558759999999,-98.644043400000001
345702,345732,0.0000,33.126494540000003,-98.640681830000005
345731,345702,0.0000,33.127558759999999,-98.644043400000001
345732,345801,0.0000,33.126494540000003,-98.640681830000005
345801,345805,0.0000,33.132657819999999,-98.614503249999999
345802,345803,0.0000,33.113196680000001,-98.599757240000002
345803,345833,0.0000,33.113196680000001,-98.599757240000002
345804,345831,0.0000,33.131052840000002,-98.608695800000007
345805,345832,0.0000,33.132657819999999,-98.614503249999999
345831,D34583,0.0000,33.131052840000002,-98.608695800000007
345832,D34583,0.0000,33.132657819999999,-98.614503249999999
345833,346102,0.0010,33.113196680000001,-98.599757240000002
345911,GHGH24,0.0000,33.124891609999999,-98.610322810000000
345921,345911,0.0000,33.123096609999997,-98.610962749999999
346001,345802,0.0010,33.123299400000001,-98.605743329999996
346002,346001,0.0000,33.124358030000003,-98.608488649999998
346101,CON037,0.0010,33.081169910000000,-98.589808189999999
346102,346101,0.0000,33.085288069999997,-98.589745809999997
346201,346231,0.0000,33.186419839999999,-98.405175150000005
346231,346306,0.0000,33.186419839999999,-98.405175150000005
346251,346306,0.0000,33.160854090000001,-98.377367359999994
346301,CON038,0.0000,33.010712110000000,-98.414620690000007
346302,346301,0.0000,33.015068190000001,-98.413013440000000
346303,346302,0.0000,33.018946900000003,-98.414480540000000
346304,346303,0.0000,33.020723590000003,-98.412304610000007
346305,346304,0.0000,33.021991180000001,-98.410749769999995
346306,346304,0.0000,33.019649840000000,-98.408644050000007
411501,411531,0.0000,32.494183090000000,-100.579999999999998
411531,411601,0.0000,32.494183090000000,-100.579999999999998
411601,411701,0.0000,32.738125230000001,-100.370000000000005
411701,411801,0.0000,32.739932850000002,-100.370000000000005
411801,411901,0.0000,32.744564990000001,-100.370000000000005
411901,411931,0.0000,32.745089430000000,-100.370000000000005
411931,CON021,0.0000,32.745089430000000,-100.370000000000005
412001,412031,0.0000,32.771224070000002,-100.310000000000002
412031,412101,0.0060,32.771224070000002,-100.310000000000002
412101,412131,0.0000,32.764548980000001,-100.310000000000002
412131,412201,0.0120,32.764548980000001,-100.310000000000002
412201,412231,0.0000,32.749121000000002,-100.299999999999997
412231,412301,0.0410,32.749121000000002,-100.299999999999997
412301,412331,0.0000,32.718607050000003,-100.239999999999995
412331,412402,0.0410,32.718607050000003,-100.239999999999995
412401,412501,0.0060,32.687550180000002,-100.189999999999998
412402,412401,0.0000,32.687549269999998,-100.200000000000003
412501,412531,0.0000,32.685497030000001,-100.189999999999998
412531,412602,0.0000,32.685497030000001,-100.189999999999998
412601,412631,0.0000,32.675727969999997,-100.180000000000007
412602,412632,0.0000,32.679834589999999,-100.189999999999998
412631,412701,0.0410,32.675727969999997,-100.180000000000007
412632,412601,0.0120,32.679834589999999,-100.189999999999998
412701,CON022,0.0060,32.657272720000002,-100.120000000000005
412801,412831,0.0000,32.364772639999998,-100.430000000000007
412831,CON022,0.0000,32.364772639999998,-100.430000000000007
412901,412931,0.0000,32.499252210000002,-100.390000000000001
412931,CON022,0.0000,32.499252210000002,-100.390000000000001
413001,413031,0.0000,32.438228510000002,-100.299999999999997
413031,CON022,0.0000,32.438228510000002,-100.299999999999997
413201,CFHA14,0.0530,32.640040700000000,-99.894883419999999
413202,413201,0.0060,32.643906790000003,-99.902512130000005
413301,413331,0.0000,32.604153490000002,-99.797574589999996
413302,413301,0.0000,32.604161830000002,-99.803067810000002
413331,CON024,0.0480,32.604153490000002,-99.797574589999996
413401,413431,0.0000,32.356689780000004,-100.109999999999999
413431,CON164,0.0000,32.356689780000004,-100.109999999999999
413501,413531,0.0000,32.373723380000001,-100.019999999999996
413531,CON165,0.0000,32.373723380000001,-100.019999999999996
413601,413631,0.0000,32.574722889999997,-99.744250300000004
413631,CON024,0.0000,32.574722889999997,-99.744250300000004
413701,413801,0.0200,32.587297790000001,-99.726824149999999
413801,413901,0.0000,32.608076390000001,-99.696244879999995
413901,413931,0.0000,32.611154820000003,-99.691962720000006
413931,414001,0.0200,32.611154820000003,-99.691962720000006
414001,CON025,0.0130,32.643045110000003,-99.682698470000005
414101,414102,0.0000,32.662087419999999,-99.681718079999996
414102,414103,0.0000,32.663634399999999,-99.682628600000001
414103,CON025,0.0000,32.663634399999999,-99.682628600000001
414201,414231,0.0000,32.234198620000001,-99.888346470000002
414231,414301,0.0000,32.234198620000001,-99.888346470000002
414301,414331,0.0000,32.409580689999999,-99.787640800000005
414331,414604,0.0000,32.409580689999999,-99.787640800000005
414401,414431,0.0000,32.329639350000001,-99.855371309999995
414431,414604,0.0000,32.329639350000001,-99.855371309999995
414501,414531,0.0000,32.365405350000003,-99.851663340000002
414531,414604,0.0000,32.365405350000003,-99.851663340000002
414601,414631,0.0000,32.504218799999997,-99.749930190000001
414602,414632,0.0000,32.500869969999997,-99.748414580000002
414603,414633,0.0000,32.499590410000003,-99.751771579999996
414604,414634,0.0000,32.502163410000001,-99.751764760000000
414631,414701,0.0000,32.504218799999997,-99.749930190000001
414632,414601,0.0000,32.500869969999997,-99.748414580000002
414633,414602,0.0000,32.499590410000003,-99.751771579999996
414634,414603,0.0000,32.502163410000001,-99.751764760000000
414701,414702,0.0000,32.516784219999998,-99.727639640000007
414702,414703,0.0000,32.517809210000003,-99.725502700000007
414703,414801,0.0000,32.517806020000002,-99.723977880000007
414801,414901,0.0000,32.516258579999999,-99.722153079999998
414901,W12361,0.0000,32.523459410000001,-99.719692379999998
415001,415031,0.0000,32.384512800000003,-99.730155379999999
415031,415401,0.0000,32.384512800000003,-99.730155379999999
415101,415131,0.0000,32.615987320000002,-99.668445300000002
415131,416101,0.0000,32.615987320000002,-99.668445300000002
415201,415202,0.0000,32.434134530000001,-99.708384390000006
415202,415231,0.0000,32.434134530000001,-99.708384390000006
415231,415301,0.0000,32.434134530000001,-99.708384390000006
415251,415301,0.0000,32.434134530000001,-99.708384390000006
415301,415331,0.0000,32.443158279999999,-99.715972370000003
415302,415431,0.0000,32.451403560000003,-99.721126639999994
415331,415401,0.0000,32.443158279999999,-99.715972370000003
415351,415401,0.0000,32.443158279999999,-99.715972370000003
415401,415302,0.0000,32.451403560000003,-99.721126639999994
415431,415501,0.0000,32.451403560000003,-99.721126639999994
415501,415601,0.0000,32.494616970000003,-99.711244320000006
415551,415301,0.0000,32.442900649999999,-99.715973149999996
415601,415602,0.0000,32.496936789999999,-99.712760990000007
415602,415701,0.0000,32.497708580000001,-99.712758620000002
415701,W12361,0.0000,32.500020390000003,-99.710617979999995
415801,415831,0.0000,32.457994090000000,-99.676926620000003
415802,W12361,0.0000,32.451310540000001,-99.680300840000001
415901,W12361,0.0000,32.472174080000002,-99.687543649999995
415931,415901,0.0000,32.472174080000002,-99.687543649999995
416031,W12361,0.0000,32.469110760000000,-99.698219440000003
416101,416131,0.0000,32.615987320000002,-99.668445300000002
416131,414101,0.0000,32.615987320000002,-99.668445300000002
416201,416202,0.0070,32.679315840000001,-99.675550909999998
416202,416301,0.0000,32.680597679999998,-99.673408120000005
416301,CFNU16,0.0000,32.684711770000000,-99.671866870000002
416401,416501,0.0000,32.545682329999998,-99.650395570000001
416501,416531,0.0000,32.555488120000000,-99.660119640000005
416502,415101,0.0000,32.615987320000002,-99.668445300000002
416531,416601,0.0000,32.555488120000000,-99.660119640000005
416551,414101,0.0000,32.615987320000002,-99.668445300000002
416601,416701,0.0000,32.559596030000002,-99.656749000000005
416701,416731,0.0000,32.588354430000003,-99.632233869999993
416731,426602,0.0000,32.588354430000003,-99.632233869999993
416801,CON036,0.0450,32.968053800000000,-98.730925290000002
416801,4226D2,0.0366,32.968053800000000,-98.730925290000002
416802,416801,0.0000,32.966277779999999,-98.733705929999999
416803,416802,0.0060,32.971472230000003,-98.738537780000001
416804,416803,0.0000,32.974306040000002,-98.738806170000004
416901,416902,0.0000,32.686857220000000,-99.609549450000003
416901,416911,0.0000,32.686857220000000,-99.609549450000003
417001,417002,0.0000,32.696406099999997,-99.618368200000006
417003,CON026,0.0000,32.717266270000003,-99.623171819999996
417051,CON026,0.0000,32.717266270000003,-99.623171819999996
417111,417201,0.0060,32.748409150000001,-99.623657499999993
417121,417111,0.0060,32.734274700000000,-99.631048300000003
417201,417202,0.0060,32.755642320000000,-99.633103960000000
417202,417301,0.0060,32.764659450000003,-99.636430970000006
417301,417431,0.0120,32.776977379999998,-99.623542380000004
417431,417502,0.0640,32.792642760000000,-99.611858949999998
417501,CON029,0.2370,32.860831509999997,-99.528034009999999
417502,417531,0.0000,32.859329889999998,-99.540282250000004
417531,417501,0.0060,32.859329889999998,-99.540282250000004
417601,417631,0.0000,32.962902290000002,-99.780865739999996
417631,417701,0.0000,32.962902290000002,-99.780865739999996
417701,417803,0.0000,33.003887370000001,-99.683614649999996
417702,417731,0.0000,32.997187879999998,-99.680879520000005
417731,417701,0.0000,32.997187879999998,-99.680879520000005
417801,W12352,0.0000,33.007970069999999,-99.669502320000007
417802,417801,0.0000,33.005667279999997,-99.674720570000005
417803,417802,0.0000,33.004907350000003,-99.679627109999998
417804,417831,0.0000,33.007192009999997,-99.667053069999994
417805,417832,0.0000,33.000247979999997,-99.669223570000000
417831,W12352,0.0000,33.007192009999997,-99.667053069999994
417832,417804,0.0000,33.000247979999997,-99.669223570000000
417901,417902,0.0000,33.076641039999998,-99.562212950000003
417902,417903,0.0000,33.076641039999998,-99.562212950000003
417903,417904,0.0000,33.076641039999998,-99.562212950000003
417904,417931,0.0000,33.076641039999998,-99.562212950000003
417905,417932,0.0000,32.950286730000002,-99.779057519999995
417931,CON027,0.0000,33.076641039999998,-99.562212950000003
417932,417601,0.0000,32.950286730000002,-99.779057519999995
417951,417601,0.0000,32.950286730000002,-99.779057519999995
418001,418031,0.0000,32.820210830000001,-100.079999999999998
418031,CON161,0.0000,32.819953169999998,-100.079999999999998
418101,418131,0.0000,32.857779190000002,-99.902288679999998
418131,CON162,0.0000,32.857779190000002,-99.902288679999998
418231,418301,0.0000,32.727527260000002,-99.876756670000006
418301,418331,0.0000,32.764829499999998,-99.860505470000007
418331,CON163,0.0000,32.765086830000001,-99.860199050000006
418401,418431,0.0000,33.185395970000002,-99.701422390000005
418402,418432,0.0000,33.181265439999997,-99.696215050000006
418431,418402,0.0000,33.185395970000002,-99.701422390000005
418432,CON028,0.0000,33.181265439999997,-99.696215050000006
418501,418502,0.0000,32.951593150000001,-99.233514909999997
418502,CFFG18,0.0110,32.950295250000003,-99.231686999999994
418601,418701,0.1190,32.933726470000003,-99.215285879999996
418602,418631,0.0000,32.934480100000002,-99.212217530000004
418631,418601,0.0000,32.934480100000002,-99.212217530000004
418701,418801,0.0300,32.901128479999997,-99.070751610000002
418801,418921,0.0060,32.920172270000002,-99.034428050000002
418911,419101,0.0000,32.926211410000001,-99.015685590000004
418921,419001,0.0060,32.921362469999998,-99.021248220000004
419001,418911,0.0000,32.924684820000003,-99.018151619999998
419101,419201,0.0180,32.927190510000003,-99.008937119999999
419102,419201,0.0000,32.930904660000003,-98.989603549999998
419103,419102,0.0000,32.933219029999997,-98.989273209999993
419104,CON030,0.0350,32.939896259999998,-98.987362410000003
419201,419331,0.0000,32.933454429999998,-98.986513900000006
419331,419104,0.0060,32.934486300000003,-98.986809289999997
419401,419431,0.0000,33.018461899999998,-99.065288859999995
419431,CON030,0.0000,33.018461899999998,-99.065288859999995
419501,419601,0.0180,32.943029889999998,-98.927907860000005
419501,419105,0.0130,32.943029889999998,-98.927907860000005
419601,419701,0.0120,32.925366140000001,-98.908206039999996
419701,419831,0.0000,32.906819830000003,-98.906585379999996
419831,419902,0.0060,32.901866360000000,-98.898990249999997
419901,CON035,0.0000,32.904524469999998,-98.878445339999999
419902,419901,0.0060,32.908426349999999,-98.883297459999994
419903,419931,0.0000,32.901982459999999,-98.882149940000005
419931,CON035,0.0000,32.901982459999999,-98.882149940000005
420001,420702,0.0000,32.316296850000001,-99.213755629999994
420131,420401,0.0000,32.389202720000000,-99.371167990000004
420201,420231,0.0000,32.375556889999999,-99.369736959999997
420231,420301,0.0000,32.375556889999999,-99.369736959999997
420301,420331,0.0000,32.376314000000001,-99.366688109999998
420331,420401,0.0000,32.376314000000001,-99.366688109999998
420332,420401,0.0000,32.379911530000001,-99.365446000000006
420401,420501,0.0000,32.383383039999998,-99.289612800000000
420501,420502,0.0000,32.388669370000002,-99.268259540000003
420502,420503,0.0000,32.392534359999999,-99.269142540000004
420503,420702,0.0000,32.394323040000003,-99.266692570000004
420601,420631,0.0000,32.795694359999999,-100.400000000000006
420631,CFRO13,0.0000,32.795694359999999,-100.400000000000006
420701,420731,0.0000,32.534562770000001,-99.176852629999999
420702,420732,0.0000,32.532027859999999,-99.182973950000004
420731,CON166,0.0000,32.534562770000001,-99.176852629999999
420732,CON166,0.0000,32.532027859999999,-99.182973950000004
420801,420831,0.0000,32.658856870000001,-99.359888630000000
420831,CON167,0.0000,32.658856870000001,-99.359888630000000
420901,420931,0.0000,32.733061820000003,-99.108483059999998
420931,CON031,0.0000,32.733061820000003,-99.108483059999998
421001,421031,0.0000,32.814612339999996,-99.102811579999994
421031,CON032,0.0000,32.814612339999996,-99.102811579999994
421101,421131,0.0000,32.439277310000001,-98.983937179999998
